well,Condition number,Condition,Condition name,Total_uM_C,Total_mM_C,Carbon_source,MeOH
A1,0,x,Media blank,0,0,NA,N
A2,0,x,Media blank,0,0,NA,N
A3,0,x,Media blank,0,0,NA,N
A4,0,x,Media blank,0,0,NA,N
A5,0,x,Media blank,0,0,NA,N
A6,0,x,Media blank,0,0,NA,N
A7,0,x,Media blank,0,0,NA,N
A8,0,x,Media blank,0,0,NA,N
A9,0,x,Media blank,0,0,NA,N
A10,0,x,Media blank,0,0,NA,N
A11,0,x,Media blank,0,0,NA,N
A12,0,x,Media blank,0,0,NA,N
B1,0,x,Media blank,0,0,NA,N
B2,2,B,0 uM Pyr 64 uM 4-HOBzOH,450,0.45,4HB,N
B3,4,D,300 uM Pyr 0 uM 4-HOBzOH,900,0.9,Pyruvate,N
B4,7,G,600 uM Pyr 0 uM 4-HOBzOH,1800,1.8,Pyruvate,N
B5,10,J,900 uM Pyr 0 uM 4-HOBzOH,2700,2.7,Pyruvate,N
B6,1,A,0 uM Pyr 0 uM 4-HOBzOH,0,0,NA,N
B7,8,H,600 uM Pyr 128 uM 4-HOBzOH,2700,2.7,Pyruvate and 4HB,N
B8,5,E,300 uM Pyr 0 uM 4-HOBzOH trace MeOH,900,0.9,Pyruvate,Y
B9,3,C,0 uM Pyr 128 uM 4-HOBzOH,900,0.9,4HB,N
B10,9,I,600 uM Pyr 0 uM 4-HOBzOH trace MeOH,1800,1.8,Pyruvate,Y
B11,6,F,300 uM Pyr 128 uM 4-HOBzOH,1800,1.8,Pyruvate and 4HB,N
B12,0,x,Media blank,0,0,NA,N
C1,0,x,Media blank,0,0,NA,N
C2,8,H,600 uM Pyr 128 uM 4-HOBzOH,2700,2.7,Pyruvate and 4HB,N
C3,3,C,0 uM Pyr 128 uM 4-HOBzOH,900,0.9,4HB,N
C4,9,I,600 uM Pyr 0 uM 4-HOBzOH trace MeOH,1800,1.8,Pyruvate,Y
C5,2,B,0 uM Pyr 64 uM 4-HOBzOH,450,0.45,4HB,N
C6,5,E,300 uM Pyr 0 uM 4-HOBzOH trace MeOH,900,0.9,Pyruvate,Y
C7,10,J,900 uM Pyr 0 uM 4-HOBzOH,2700,2.7,Pyruvate,N
