Injection_number,Sample_name,Sample_number,Cells_mL,Mass_filtrate_g,Volume_filtrate_mL,t,Sample_condition,ngmL_3m2ob_onTSQ,ngmL_3m2ob_lessdilute,ngmL_3m2ob_evenlessdilute,ng_3m2op_after_drydown,ng_before_extraction,nmol_before extraction,uM_3m2ob
22,KHU7_1,1,1431665.76,93.04,91.21568627,12.5,Treatment,418.612582,1674.450328,167445.0328,167445.0328,1657871.612,14277.8173,156.5280917
23,KHU7_2,2,0,103.62,101.5882353,7.5,VSW,0,0,0,0,0,0,0
24,KHU7_3,3,0,91.24,89.45098039,0,No Alt,524.3283859,2097.313543,209731.3543,209731.3543,2076548.063,17883.51622,199.9253238
25,KHU7_4,4,18210867.68,78.76,77.21568627,42.75,Treatment,268.4961405,1073.984562,107398.4562,107398.4562,1063351.052,9157.724842,118.5992806
26,KHU7_5,5,0,98.98,97.03921569,42.75,VSW,0,0,0,0,0,0,0
28,KHU7_6,6,843041.5692,81.76,80.15686275,12.5,No 3m2ob,0,0,0,0,0,0,0
29,KHU7_7,7,8269160.314,98.3,96.37254902,36,Treatment,319.2397264,1276.958906,127695.8906,127695.8906,1264315.748,10888.46032,112.9830064
30,KHU7_8,8,0,98.93,96.99019608,12.5,VSW,0,0,0,0,0,0,0
31,KHU5_9,9,0,81.76,80.15686275,36,No Alt,505.2995412,2021.198165,202119.8165,202119.8165,2001186.302,17234.49042,215.0095429
32,KHU7_10,10,413087.3942,102.85,100.8333333,7.5,No 3m2ob,0,0,0,0,0,0,0
34,KHU7_11,11,139.1963227,103.45,101.4215686,58.75,VSW,0,0,0,0,0,0,0
35,KHU7_12,12,924106.2389,90.39,88.61764706,7.5,Treatment,450.3273232,1801.309293,180130.9293,180130.9293,1783474.547,15359.52698,173.3235703
36,KHU7_13,13,0,93.88,92.03921569,12.5,No Alt,386.8978409,1547.591363,154759.1363,154759.1363,1532268.677,13196.10763,143.3748379
37,KHU7_14,14,666586.3203,93.88,92.03921569,36,No 3m2ob,15.47593558,61.9037423,6190.37423,6190.37423,61290.83396,527.8450536,5.735001647
38,KHU7_15,15,0,89.43,87.67647059,7.5,No Alt,420.7268981,1682.907592,168290.7592,168290.7592,1666245.141,14349.93128,163.6691257
40,KHU7_16,16,497537.9249,98.39,96.46078431,0,Treatment,386.8978409,1547.591363,154759.1363,154759.1363,1532268.677,13196.10763,136.8028233
41,KHU7_17,17,0,107.32,105.2156863,58.75,VSW,0,0,0,0,0,0,0
42,KHU7_18,18,497626.5431,94.53,92.67647059,0,No 3m2ob,0,0,0,0,0,0,0
43,KHU7_19,19,0,76.75,75.24509804,42.75,No Alt,424.9555302,1699.822121,169982.2121,169982.2121,1682992.199,14494.15924,192.6259599
44,KHU7_20,20,763020.6213,99.98,98.01960784,42.75,No 3m2ob,0,0,0,0,0,0,0
46,KHU7_21,21,397497.6369,93.86,92.01960784,0,Treatment,382.6692087,1530.676835,153067.6835,153067.6835,1515521.619,13051.87967,141.8380276
47,KHU7_22,22,0,95.09,93.2254902,0,VSW,0,0,0,0,0,0,0
48,KHU7_23,23,43979406.63,77.46,75.94117647,58.75,Treatment,49.87585815,199.5034326,19950.34326,19950.34326,197528.1511,1701.139481,22.40075227
49,KHU7_24,24,0,99.68,97.7254902,42.75,No Alt,372.0976283,1488.390513,148839.0513,148839.0513,1473653.974,12691.30978,129.866934
50,KHU7_25,25,1641638.789,89.11,87.3627451,12.5,Treatment,374.2119444,1496.847778,149684.7778,149684.7778,1482027.503,12763.42376,146.0968717
52,KHU7_26,26,0,93.65,91.81372549,12.5,No Alt,376.3262605,1505.305042,150530.5042,150530.5042,1490401.032,12835.53774,139.7997703
53,KHU7_27,27,0,100.72,98.74509804,58.75,No Alt,372.0976283,1488.390513,148839.0513,148839.0513,1473653.974,12691.30978,128.5259728
54,KHU7_28,28,10358116.32,87.11,85.40196078,36,Treatment,293.8679335,1175.471734,117547.1734,117547.1734,1163833.4,10023.09258,117.363729
55,KHU7_29,29,0,104.99,102.9313725,36,VSW,16.15251672,64.61006688,6461.006688,6461.006688,63970.36325,550.9215266,5.352318861
56,KHU7_30,30,485903.2744,99.19,97.24509804,0,No 3m2ob,14.75918243,59.0367297,5903.67297,5903.67297,58452.20763,503.3984149,5.176594246
58,KHU7_31,31,706962.9764,91.1,89.31372549,58.75,No 3m2ob,15.89879879,63.59519517,6359.519517,6359.519517,62965.53977,542.2678492,6.071495129
59,KHU7_32,32,0,103.7,101.6666667,36,No Alt,357.2974158,1429.189663,142918.9663,142918.9663,1415039.27,12186.51193,119.8673305
60,KHU7_33,33,17877661.05,70.4,69.01960784,42.75,Treatment,220.5011656,882.0046623,88200.46623,88200.46623,873271.9429,7520.737534,108.9652313
61,KHU7_34,34,0,64.44,63.17647059,36,VSW,0,0,0,0,0,0,0
62,KHU7_35,35,0,98.08,96.15686275,58.75,No Alt,346.7258354,1386.903342,138690.3342,138690.3342,1373171.625,11825.94204,122.9859388
64,KHU7_36,36,0,92.53,90.71568627,7.5,No Alt,376.3262605,1505.305042,150530.5042,150530.5042,1490401.032,12835.53774,141.4919323
65,KHU7_37,37,706895.3814,96.52,94.62745098,36,No 3m2ob,0,0,0,0,0,0,0
66,KHU7_38,38,0,103.91,101.872549,42.75,VSW,0,0,0,0,0,0,0
67,KHU7_39,39,432260.7975,98.87,96.93137255,7.5,No 3m2ob,0,0,0,0,0,0,0
68,KHU7_40,40,963733.0643,90.41,88.6372549,7.5,Treatment,372.0976283,1488.390513,148839.0513,148839.0513,1473653.974,12691.30978,143.182568
70,KHU7_41,41,358457.4943,102.86,100.8431373,0,No 3m2ob,0,0,0,0,0,0,0
71,KHU7_42,42,0,98.14,96.21568627,12.5,VSW,0,0,0,0,0,0,0
72,KHU7_43,43,1782001.888,94.92,93.05882353,12.5,Treatment,308.668146,1234.672584,123467.2584,123467.2584,1222448.103,10527.89043,113.1315659
73,KHU7_44,44,694890.6256,99.46,97.50980392,42.75,No 3m2ob,0,0,0,0,0,0,0
74,KHU7_45,45,0,94.63,92.7745098,58.75,VSW,16.42737781,65.70951124,6570.951124,6570.951124,65058.92202,560.2963438,6.039334996
76,KHU7_46,46,0,105.12,103.0588235,7.5,VSW,0,0,0,0,0,0,0
77,KHU7_47,47,774210.3308,107.14,105.0392157,12.5,No 3m2ob,0,0,0,0,0,0,0
78,KHU7_48,48,0,88.48,86.74509804,42.75,No Alt,414.3839499,1657.535799,165753.5799,165753.5799,1641124.554,14133.58935,162.9324269
79,KHU7_49,49,40549390.45,75.85,74.3627451,58.75,Treatment,22.72803972,90.91215888,9091.215888,9091.215888,90012.0385,775.1959993,10.42452102
80,KHU7_50,50,0,98.14,96.21568627,42.75,VSW,0,0,0,0,0,0,0
82,KHU7_51,51,786820.6934,96.9,95,36,No 3m2ob,17.16738844,68.66955375,6866.955375,6866.955375,67989.65718,585.5362362,6.163539329
83,KHU7_52,52,0,96.61,94.71568627,58.75,No Alt,308.668146,1234.672584,123467.2584,123467.2584,1222448.103,10527.89043,111.152554
84,KHU7_53,53,18831331.6,79.19,77.6372549,42.75,Treatment,232.5527672,930.2110689,93021.10689,93021.10689,921001.0583,7931.78721,102.1647046
85,KHU7_54,54,0,83.65,82.00980392,12.5,No Alt,310.7824621,1243.129848,124312.9848,124312.9848,1230821.632,10600.00441,129.252893
