sample,injection #,Sample name,Sample number,t,Sample condition,Std conc (ng/mL),3m2ob quality,3m2ob peakArea,3m2ob peakAreaTop,3m2ob peakAreaCorrected,3m2ob-d5 quality,3m2ob-d5 peakArea,3m2ob-d5 peakAreaTop,3m2ob-d5 peakAreaCorrected,3m2ob/3m2ob-IS peakArea,3m2ob/3m2ob-IS peakAreaTop,3m2ob/3m2ob-IS peakAreaCorrected,d2-Biotin quality,d2-Biotin peakArea,d2-Biotin peakAreaTop,d2-Biotin peakAreaCorrected,"3m2ob (ng/mL), coef. 1","3m2ob (ng/mL), coef 2","3m2ob (ng/mL), coef. 3","3m2ob (ng/mL), coef. 4","3m2ob (ng/mL), coef. 5","3m2ob (ng/mL), coef. 6","3m2ob (ng/mL), coef. 7","3m2ob (ng/mL), coef. 8","3m2ob (ng/mL), coef. 9","3m2ob (ng/mL), coef. 10","3m2ob (ng/mL), coef. 11","3m2ob (ng/mL), coef. 12"
mtab_TSQ_KHU7_2021_0419_42,42,KHU7_18,18,0,No 3m2ob,,0.356,43.8,4.51,15.1,0.795,9.43E+03,417,9.35E+03,0.004644751,0.010815348,0.001614973,0.848,1.84E+04,3.59E+03,1.84E+04,11.50446419,-8.518650632,11.50101807,18.71146187,6.421446818,18.78961332,15.18364148,5.594968923,-14.21413625,10.27493442,-1.495203837,10.45130875
mtab_TSQ_KHU7_2021_0419_56,56,KHU7_30,30,0,No 3m2ob,,0.259,99.1,15.3,65.5,0.789,8.91E+03,310,8.87E+03,0.011122334,0.049354839,0.007384442,0.847,2.24E+04,4.21E+03,2.23E+04,12.67724217,-3.020281288,12.56999236,20.07105276,12.68596145,20.02776004,16.59181184,13.46017117,-12.95990393,11.9795617,10.5483871,11.96958998
mtab_TSQ_KHU7_2021_0419_70,70,KHU7_41,41,0,No 3m2ob,,0.0458,20.7,5.25,14.6,0.784,8.42E+03,385,8.38E+03,0.002458432,0.013636364,0.001742243,0.845,2.00E+04,3.18E+03,2.00E+04,11.01456959,-8.141561353,11.49041317,18.14353149,6.851079889,18.77733012,14.70835485,6.170686456,-14.18646882,9.699587448,-0.613636364,10.4848009
mtab_TSQ_KHU7_2021_0419_32,32,KHU7_10,10,7.5,No 3m2ob,,0.0831,33.9,2.76,6.52,0.804,1.02E+04,501,1.01E+04,0.003323529,0.005508982,0.000645545,0.848,2.20E+04,3.71E+03,2.20E+04,11.29450936,-9.410415817,11.31903792,18.46806314,5.405422666,18.57883359,14.89641944,4.51203715,-14.42488162,9.927244582,-3.153443114,10.19619594
mtab_TSQ_KHU7_2021_0419_67,67,KHU7_39,39,7.5,No 3m2ob,,0.0429,13,2.52,4.73,0.762,1.09E+04,401,1.09E+04,0.001192661,0.006284289,0.000433945,0.831,1.94E+04,3.21E+03,1.94E+04,10.85127139,-9.532715043,11.28107237,17.95422137,5.266082211,18.53485973,14.43318708,4.670263118,-14.47088153,9.366489619,-2.911159601,10.14051183
mtab_TSQ_KHU7_2021_0419_102,102,KHU7_68,68,7.5,No 3m2ob,,0.457,78.3,7.14,31,0.798,8.77E+03,537,8.71E+03,0.008928164,0.013296089,0.003559127,0.834,1.90E+04,3.06E+03,1.90E+04,12.23612495,-7.178454953,11.83825401,19.55966957,7.948385973,19.18021913,16.1148183,6.101242732,-13.79149403,11.40214847,-0.719972067,10.96292827
mtab_TSQ_KHU7_2021_0419_28,28,KHU7_6,6,12.5,No 3m2ob,,0.38,56,4.99,22.9,0.811,1.34E+04,614,1.33E+04,0.004179104,0.008127036,0.001721805,0.849,2.39E+04,4.79E+03,2.38E+04,11.7631964,-8.274052181,11.66645457,19.01140778,6.700127729,18.98123127,15.08241402,5.046333843,-14.19091206,10.15239592,-2.335301303,10.47942224
mtab_TSQ_KHU7_2021_0419_77,77,KHU7_47,47,12.5,No 3m2ob,,0.0492,50.4,5.91,28.1,0.792,9.35E+03,373,9.30E+03,0.005390374,0.015844504,0.003021505,0.847,2.06E+04,3.52E+03,2.06E+04,11.64443408,-7.805238483,11.77674557,18.87372769,7.23426614,19.10897656,15.34573355,6.621327351,-13.9083684,10.47115114,0.076407507,10.82144878
mtab_TSQ_KHU7_2021_0419_90,90,KHU7_58,58,12.5,No 3m2ob,,0.108,20.9,4.54,10.8,0.771,8.38E+03,480,8.34E+03,0.002494033,0.009458333,0.001294964,0.845,2.15E+04,4.67E+03,2.15E+04,11.0188111,-8.503363229,11.4098159,18.14844864,6.438864375,18.68397779,14.71609422,5.318027211,-14.28370347,9.708956161,-1.919270833,10.3670958
mtab_TSQ_KHU7_2021_0419_37,37,KHU7_14,14,36,No 3m2ob,,0.408,133,25,92.6,0.807,8.88E+03,417,8.82E+03,0.014977477,0.059952038,0.010498866,0.847,1.99E+04,3.83E+03,1.98E+04,13.3961784,1.92264574,13.14477815,20.90450902,18.31763818,20.69350956,17.42988641,15.62286497,-12.28285517,12.99407302,13.86001199,12.78917532
