File_name,Sample_name,Sample_number,Mass_filtrate_g,Volume_filtrate_mL,Condition,Time,Cells_mL_undilute,ngmL_3m2op_onTSQ,ngmL_3m2op_before_dilution,ng_3m2op_after_drydown,ng_3m2op_before_extraction,nmol_3m2op_before_extraction,uM_3m2op
mtab_TSQ_KHU8_2021_0618_045,KHU8_20,20,81.3,79.70588235,No 3m2op,0,1660000,0,0,0,0,0,0
mtab_TSQ_KHU8_2021_0618_067,KHU8_38,38,88.14,86.41176471,No 3m2op,0,1530000,0,0,0,0,0,0
mtab_TSQ_KHU8_2021_0618_085,KHU8_53,53,70.18,68.80392157,No 3m2op,0,1430000,0,0,0,0,0,0
mtab_TSQ_KHU8_2021_0618_047,KHU8_21,21,78.66,77.11764706,No 3m2op,7.25,2280000,0,0,0,0,0,0
mtab_TSQ_KHU8_2021_0618_075,KHU8_45,45,91.39,89.59803922,No 3m2op,7.25,2890000,0,0,0,0,0,0
mtab_TSQ_KHU8_2021_0618_089,KHU8_56,56,85.99,84.30392157,No 3m2op,7.25,2150000,0,0,0,0,0,0
mtab_TSQ_KHU8_2021_0618_038,KHU8_14,14,86.66,84.96078431,No 3m2op,12.5,1900000,0,0,0,0,0,0
mtab_TSQ_KHU8_2021_0618_056,KHU8_29,29,89.75,87.99019608,No 3m2op,12.5,2640000,0,0,0,0,0,0
mtab_TSQ_KHU8_2021_0618_104,KHU8_69,69,88.53,86.79411765,No 3m2op,12.5,2560000,0,0,0,0,0,0
mtab_TSQ_KHU8_2021_0618_059,KHU8_31,31,82.3,80.68627451,No 3m2op,35.5,2430000,0,0,0,0,0,0
mtab_TSQ_KHU8_2021_0618_078,KHU8_47,47,91.39,89.59803922,No 3m2op,35.5,2440000,0,0,0,0,0,0
mtab_TSQ_KHU8_2021_0618_096,KHU8_62,62,77.83,76.30392157,No 3m2op,35.5,3250000,0,0,0,0,0,0
mtab_TSQ_KHU8_2021_0618_029,KHU8_6,6,87.76,86.03921569,No 3m2op,48,2800000,0,0,0,0,0,0
mtab_TSQ_KHU8_2021_0618_050,KHU8_24,24,89.75,87.99019608,No 3m2op,48,2630000,0,0,0,0,0,0
mtab_TSQ_KHU8_2021_0618_080,KHU8_49,49,78.9,77.35294118,No 3m2op,48,2960000,0,0,0,0,0,0
mtab_TSQ_KHU8_2021_0618_026,KHU8_4,4,93.77,91.93137255,No 3m2op,58.5,2790000,0,0,0,0,0,0
mtab_TSQ_KHU8_2021_0618_033,KHU8_10,10,89.96,88.19607843,No 3m2op,58.5,2200000,0,0,0,0,0,0
mtab_TSQ_KHU8_2021_0618_072,KHU8_42,42,91.13,89.34313725,No 3m2op,58.5,2980000,0,0,0,0,0,0
mtab_TSQ_KHU8_2021_0618_025,KHU8_3,3,100.72,98.74509804,No Alt,0,7030,608.0660741,912707.1772,912707.1772,1821770.813,13998.35266,141.7625071
mtab_TSQ_KHU8_2021_0618_081,KHU8_50,50,81.98,80.37254902,No Alt,0,2020,582.5462566,874401.9311,874401.9311,1745313.236,13410.85828,166.8586904
