groupId,compound,compoundId,sample,peakMz,medianMz,baseMz,rt,rtmin,rtmax,quality,peakIntensity,peakArea,peakAreaTop,peakAreaCorrected,noNoiseObs,signalBaseLineRatio,fromBlankSample,
0,pantothenic acid neg,pantothenic acid neg,mtab_TSQ_KHU8_2021_0618_078,88.106003,88.106003,88.106003,3.5,2.96,3.79,0.756,28.2,208,10.1,31.4,111,2.82,0,
0,pantothenic acid neg,pantothenic acid neg,mtab_TSQ_KHU8_2021_0618_082,88.106003,88.106003,88.106003,3.53,3.46,3.76,0.274,72.5,199,43,144,37,7.25,0,
0,pantothenic acid neg,pantothenic acid neg,mtab_TSQ_KHU8_2021_0618_075,88.106003,88.106003,88.106003,3.36,2.96,3.89,0.538,1.27,190,1.07,7.8,123,0.127,0,
0,pantothenic acid neg,pantothenic acid neg,mtab_TSQ_KHU8_2021_0618_085,88.106003,88.106003,88.106003,3.59,3.47,3.75,0.115,1.07,52.4,1,1.67,38,0.107,0,
0,pantothenic acid neg,pantothenic acid neg,mtab_TSQ_KHU8_2021_0618_074,88.106003,88.106003,88.106003,3.04,2.95,3.14,0.446,55.9,91.8,19.2,57.2,26,5.59,0,
0,pantothenic acid neg,pantothenic acid neg,mtab_TSQ_KHU8_2021_0618_088,88.106003,88.106003,88.106003,3.7,3.63,3.82,0.304,28.7,62.5,10.1,28.1,23,2.87,0,
0,pantothenic acid neg,pantothenic acid neg,mtab_TSQ_KHU8_2021_0618_089,88.106003,88.106003,88.106003,3.83,3.36,3.89,0.121,1.28,103,1.15,5.72,82,0.128,0,
0,pantothenic acid neg,pantothenic acid neg,mtab_TSQ_KHU8_2021_0618_076,88.106003,88.106003,88.106003,3.16,3.15,3.17,0.0575,84.5,88,28.8,83.5,1,8.45,0,
0,pantothenic acid neg,pantothenic acid neg,mtab_TSQ_KHU8_2021_0618_077,88.106003,88.106003,88.106003,3.11,3.07,3.36,0.0631,1.46,60.8,1.19,2.94,40,0.146,0,
0,pantothenic acid neg,pantothenic acid neg,mtab_TSQ_KHU8_2021_0618_081,88.106003,88.106003,88.106003,3.31,3.11,3.86,0.683,1.22,147,1.05,5.59,100,0.122,0,
